,1001
3113,1001
3125,1002
3136,1000
3148,1000
3160,1001
3171,1001
3182,1001
3193,1001
3205,1000
3217,1001
3228,1001
3239,1001
3251,1001
3262,1001
3273,1001
3286,1001
3297,1001
3308,1001
3319,1001
3331,1001
3342,1001
3354,1001
3365,1001
3377,1002
3388,1001
3399,1001
3411,1002
3423,1001
3434,1001
3445,1001
3457,1002
3468,1000
3480,1001
3491,1001
3503,1001
3514,1001
3525,1001
3536,1002
3549,1001
3560,1001
3571,1001
3582,1001
3594,1000
3605,1001
3617,1002
3629,1001
3640,1001
3651,1001
3662,1001
3674,1001
3686,1001
3697,1001
3708,1001
3720,1001
3731,1001
3742,1002
3755,1002
3766,1001
3777,1001
3788,1002
3800,1001
3812,1001
3823,1001
3834,1001
3846,1001
3857,1001
3868,1002
3880,1001
3892,1001
3903,1001
3914,1001
3926,1001
3937,1001
3949,1002
3960,1000
3972,1001
3983,1001
3994,1001
4005,1001
4018,1002
4029,1002
4040,1000
4051,1001
4063,1001
4074,1001
4086,1001
4098,1002
4109,1002
4120,1001
4131,1002
4144,1002
4155,1002
4166,1002
4177,1001
4189,1002
4200,1002
4212,1001
4224,1002
4235,1002
4246,1002
4257,1001
4269,1002
4281,1002
4292,1001
4303,1001
4315,1001
4326,1002
4337,1001
4349,1001
4361,1002
4372,1002
4383,1002
4395,1002
4406,1001
4418,1002
4429,1002
4441,1002
4452,1001
4463,1002
4474,1001
4487,1002
4498,1002
4509,1002
4520,1002
4532,1002
4544,1001
4555,1001
4567,1002
4578,1002
4589,1001
4600,1002
4613,1002
4624,1002
4635,1002
4646,1003
4658,1002
4669,1002
4681,1002
4692,1002
4704,1002
4715,1002
4726,1002
4738,1002
4750,1002
4761,1002
4772,1002
4784,1001
4795,1002
4806,1002
4818,1002
4830,1003
4841,1002
4852,1002
4864,1002
4876,1003
4887,1003
4898,1003
4910,1002
4921,1002
4932,1002
4944,1002
4956,1002
4967,1002
4978,1003
4989,1002
5001,1003
5013,1002
5024,1003
5036,1002
5047,1003
5058,1002
5069,1002
5082,1003
5093,1003
5104,1003
5115,1002
5127,1003
5138,1003
5150,1003
5161,1002
5173,1003
5184,1003
5195,1002
5207,1002
5219,1003
5230,1003
5241,1003
5253,1003
5264,1003
5276,1002
5287,1003
5299,1003
5310,1003
5321,1002
5332,1003
5345,1003
5356,1002
5367,1003
5379,1003
5390,1003
5401,1003
5413,1003
5425,1003
5436,1003
5447,1003
5458,1003
5470,1003
5482,1003
5493,1003
5505,1003
5516,1003
5527,1003
5538,1003
5551,1003
5562,1003
5573,1003
5584,1003
5596,1003
5608,1002
5619,1003
5630,1003
5642,1003
5653,1003
5664,1003
5677,1003
5688,1002
5699,1003
5710,1003
5722,1003
5733,1003
5745,1003
5756,1003
5768,1002
5779,1003
5790,1003
5801,1003
5814,1003
5825,1003
5836,1003
5848,1003
5859,1002
5870,1003
5882,1003
5894,1003
5905,1003
5916,1003
5927,1003
5939,1003
5951,1003
5962,1003
5974,1003
5985,1003
5996,1003
6008,1003
6020,1002
6031,1003
6042,1004
6053,1003
6065,1003
6077,1003
6088,1003
6099,1002
6111,1003
6122,1003
6133,1003
6146,1002
6157,1002
6168,1003
6179,1002
6191,1002
6202,1003
6214,1002
6225,1002
6237,1002
6248,1003
6259,1003
6270,1002
6283,1003
6294,1002
6305,1002
6317,1002
6328,1002
6340,1002
6351,1001
6363,1003
6374,1003
6385,1002
6396,1002
6409,1002
6420,1002
6431,1003
6443,1002
6454,1002
6465,1002
6477,1002
6489,1002
6500,1002
6511,1002
6522,1002
6534,1002
6546,1003
6557,1002
6568,1003
6580,1002
6591,1002
6602,1002
6615,1003
6626,1002
6637,1002
6648,1002
6660,1003
6671,1002
6683,1002
6694,1003
6706,1002
6717,1002
6728,1002
6740,1002
6752,1003
6763,1002
6774,1003
6786,1002
6797,1003
6809,1002
6820,1002
6832,1002
6843,1002
6854,1003
6865,1002
6878,1003
6889,1002
6900,1003
6912,1003
6923,1002
6934,1003
6946,1003
6958,1003
6969,1003
6980,1003
6991,1003
7003,1003
7015,1003
7026,1003
7037,1003
7049,1003
7060,1002
7072,1003
7084,1003
7095,1003
7106,1003
7117,1003
7129,1002
7141,1003
7152,1003
7163,1003
7175,1002
7186,1003
7197,1003
7209,1003
7221,1003
7232,1003
7243,1003
7255,1002
7266,1003
7278,1003
7289,1003
7301,1003
7312,1003
7323,1003
7334,1002
7347,1003
7358,1003
7369,1003
7380,1003
7392,1003
7403,1002
7415,1003
7427,1003
7438,1003
7449,1003
7460,1002
7473,1003
7484,1003
7495,1003
7506,1003
7518,1003
7529,1003
7541,1003
7553,1003
7564,1003
7575,1003
7586,1003
7598,1003
7610,1003
7621,1003
7632,1003
7644,1003
7655,1003
7666,1002
7678,1003
7690,1003
7701,1003
7712,1003
7724,1003
7735,1003
7747,1002
7758,1003
7770,1003
7781,1003
7792,1004
7804,1003
7816,1003
7827,1003
7838,1003
7849,1003
7861,1003
7873,1003
7884,1003
7896,1003
7907,1003
7918,1003
7929,1003
7942,1004
7953,1003
7964,1003
7975,1004
7987,1004
7998,1003
8010,1003
8022,1003
8033,1003
8044,1003
8055,1003
8067,1004
8079,1002
8090,1003
