time,value
15638,942
15649,942
15661,942
15672,942
15684,942
15695,942
15707,942
15718,942
15729,942
15740,942
15753,942
15764,942
15775,942
15787,942
15798,943
15809,942
15821,942
15833,942
15844,942
15855,942
15866,942
15878,942
15890,942
15901,942
15912,942
15924,941
15935,942
15946,941
15959,941
15970,942
15981,941
15992,941
16004,941
16016,941
16027,941
16038,942
16050,941
16061,941
16072,942
16084,941
16096,941
16107,941
16118,941
16130,941
16141,941
16153,941
16164,941
16176,941
16187,941
16198,941
16209,941
16222,942
16233,941
16244,941
16256,940
16267,941
16278,941
16290,941
16302,941
16313,941
16324,942
16335,941
16347,941
16359,941
16370,941
16381,942
16393,941
16404,941
16416,941
16428,941
16439,941
16450,941
16461,941
16473,941
16485,941
16496,942
16507,941
16519,941
16530,941
16541,941
16553,941
16565,941
16576,941
16587,941
16599,941
16610,941
16622,940
16633,941
16645,941
16656,941
16667,941
16678,941
16691,941
16702,941
16713,941
16724,940
16736,941
16748,941
16759,941
16771,942
16782,943
16793,940
16804,937
16817,934
16828,931
16839,932
16850,931
16862,932
16873,933
16885,931
16897,930
16908,931
16919,930
16930,930
16942,932
16954,932
16965,932
16976,932
16988,932
16999,932
17010,933
17022,933
17034,933
17045,933
17056,933
17068,933
17079,933
17091,932
17102,933
17114,932
17125,932
17136,932
17148,931
17160,932
17171,931
17182,931
17193,931
17205,931
17217,931
17228,931
17240,931
17251,931
17262,931
17273,931
17286,932
17297,931
17308,931
17319,932
17331,931
17342,931
17354,931
17366,931
17377,931
17388,931
17399,931
17411,930
17423,930
17434,930
17445,930
17457,930
17468,930
17480,930
17491,930
17503,930
17514,930
17525,930
17537,930
17549,930
17560,930
17571,931
17583,930
17594,930
17605,930
17617,930
17629,930
17640,930
17651,930
17662,930
17674,930
17686,930
17697,930
17709,930
17720,930
17731,930
17742,929
17755,929
17766,929
17777,929
17788,929
17800,929
17811,929
17823,929
17835,929
17846,929
17857,929
17868,929
17881,929
17892,929
17903,929
17914,929
17926,929
17937,929
17949,928
17960,928
17972,928
17983,928
17994,929
18006,928
18018,928
18029,927
18040,929
18052,928
18063,928
18074,928
18086,928
18098,928
18109,928
18120,928
18131,928
18143,928
18155,928
18166,928
18178,928
18189,927
18200,927
18212,927
18224,927
18235,927
18246,927
18257,927
18269,927
18281,927
18292,927
18304,927
18315,927
18326,927
18337,927
18350,927
18361,927
18372,927
18383,927
18395,927
18406,927
18418,926
18429,927
18441,927
18452,927
18463,927
18475,927
18487,927
18498,927
18509,927
18521,926
18532,927
18543,927
18555,927
18567,927
18578,927
18589,927
18600,926
18613,927
18624,927
18635,927
18647,927
18658,927
18669,927
18681,927
18693,927
18704,927
18715,927
18726,927
18738,927
18750,927
18761,926
18772,927
18784,927
18795,926
18806,926
18819,926
18830,926
18841,926
18852,925
18864,925
18875,926
18887,924
18898,925
18910,925
18921,924
18932,925
18945,925
18956,924
18967,925
18978,924
18990,924
19001,924
19013,925
19024,924
19036,924
19047,923
19058,924
19069,923
19082,923
19093,923
19104,924
19116,923
19127,923
19138,923
19150,923
19162,923
19173,922
19184,922
19195,922
19207,922
19219,922
19230,922
19241,922
19253,922
19264,921
19275,921
19288,922
19299,921
19310,922
19321,922
19333,922
19345,922
19356,922
19367,921
19379,922
19390,922
19401,922
19414,922
