time,value
01
1403,1001
1414,1001
1424,1001
1434,1001
1445,1001
1456,1001
1466,1001
1476,1002
1486,1001
1498,1001
1508,1001
1518,1001
1528,1001
1539,1002
1550,1002
1560,1001
1570,1001
1582,1001
1594,1001
1605,1002
1616,1001
1628,1001
1639,1002
1650,1001
1662,1001
1674,1001
1685,1001
1696,1001
1708,1002
1719,1001
1731,1001
1742,1001
1754,1001
1765,1002
1776,1001
1787,1001
1800,1002
1811,1001
1822,1002
1833,1001
1845,1002
1856,1001
1868,1001
1880,1001
1891,1001
1902,1001
1913,1001
1926,1001
1937,1001
1948,1002
1959,1001
1971,1001
1982,1001
1994,1002
2006,1002
2017,1001
2028,1001
2039,1001
2051,1002
2063,1002
2074,1002
2085,1002
2097,1002
2108,1002
2119,1001
2131,1001
2143,1001
2154,1002
2165,1001
2177,1001
2188,1001
2200,1002
2211,1002
2223,1001
2234,1002
2245,1001
2256,1001
2269,1002
2280,1002
2291,1002
2302,1002
2314,1002
2326,1002
2337,1003
2349,1002
2360,1002
2371,1002
2382,1002
2395,1002
2406,1001
2417,1003
2428,1002
2440,1003
2451,1003
2463,1003
2475,1003
2486,1003
2497,1003
2508,1003
2520,1003
2532,1003
2543,1003
2554,1004
2566,1003
2577,1004
2588,1003
2600,1004
2612,1003
2623,1004
2634,1004
2646,1003
2658,1003
2669,1003
2680,1003
2692,1003
2703,1003
2714,1002
2726,1003
2738,1003
2749,1003
2760,1003
2771,1003
2783,1003
2795,1002
2806,1003
2818,1003
2829,1003
2840,1003
2851,1003
2864,1003
2875,1002
2886,1003
2897,1003
2909,1003
2920,1003
2932,1003
2944,1003
2955,1003
2966,1003
2977,1003
2989,1002
3001,1003
3012,1003
3023,1003
3035,1002
3046,1003
3058,1003
3069,1004
3081,1003
3092,1003
3103,1002
3115,1003
3127,1003
3138,1003
3149,1003
3161,1003
3172,1003
3183,1002
3195,1003
3207,1003
3218,1003
3229,1003
3240,1003
3252,1003
3264,1003
3275,1003
3287,1002
3298,1003
3309,1003
3320,1003
3333,1003
3344,1002
3355,1003
3366,1003
3378,1003
3390,1003
3401,1003
3412,1003
3424,1002
3435,1003
3446,1003
3459,1003
3470,1003
3481,1003
3492,1003
3504,1003
3515,1003
3527,1003
3538,1003
3550,1003
3561,1003
3572,1003
3584,1003
3596,1003
3607,1003
3618,1003
3630,1003
3641,1004
3652,1003
3664,1003
3676,1003
3687,1003
3698,1004
3709,1003
3721,1003
3733,1002
3744,1003
3756,1003
3767,1003
3778,1004
3790,1003
3802,1003
3813,1003
3824,1003
3835,1003
3847,1003
3859,1003
3870,1003
3881,1003
3893,1002
3904,1003
3915,1003
3928,1003
3939,1003
3950,1003
3961,1003
3973,1003
3984,1003
3996,1004
4007,1003
4019,1003
4030,1003
4041,1002
4052,1003
4065,1003
4076,1003
4087,1003
4099,1003
4110,1003
4122,1002
4133,1003
4145,1003
4156,1003
4167,1003
4178,1003
4191,1003
4202,1002
4213,1002
4225,1003
4236,1003
4247,1003
4259,1003
4271,1003
4282,1002
4293,1003
4304,1003
4316,1003
4328,1003
4339,1003
4350,1003
4362,1002
4373,1003
4384,1003
4397,1003
4408,1003
4419,1003
4430,1003
4442,1002
4453,1003
4465,1003
4476,1003
4488,1003
4499,1003
4510,1002
4523,1003
4534,1003
4545,1002
4556,1003
4568,1003
4579,1002
4591,1002
4602,1003
4614,1002
4625,1003
4636,1002
4647,1002
4660,1003
4671,1002
4682,1002
4694,1003
4705,1003
4716,1002
4728,1003
4740,1002
4751,1001
4762,1003
4773,1003
4785,1003
4797,1003
4808,1002
4819,1003
4831,1002
4842,1003
4854,1002
4866,1002
4877,1002
4888,1002
4899,1003
4911,1003
4923,1002
4934,1003
4945,1003
4957,1003
4968,1002
4979,1003
4992,1003
5003,1002
5014,1003
5025,1003
5037,1002
5048,1003
5060,1002
5071,1003
5083,1003
5094,1003
5105,1003
5116,1003
5129,1003
5140,1002
5151,1003
5163,1003
5174,1003
5185,1004
5197,1003
5209,1004
5220,1003
5231,1003
5242,1004
5255,1003
5266,1003
5277,1003
5288,1004
5300,1003
5311,1003
5323,1003
5335,1003
5346,1003
5357,1003
5368,1003
5380,1003
5392,1003
5403,1003
5414,1003
5426,1003
5437,1003
5448,1003
5460,1003
5472,1003
5483,1003
5494,1003
5506,1003
5517,1003
5529,1003
5540,1003
5552,1003
5563,1003
5574,1003
5586,1003
5598,1003
5609,1002
5620,1003
5632,1003
5643,1003
5655,1003
5666,1003
5678,1003
5689,1002
5700,1003
5711,1003
5724,1003
5735,1003
5746,1003
5757,1003
