time,value
22711,314
22722,314
22734,314
22746,314
22757,314
22768,314
22779,314
22791,313
22803,313
22814,313
22825,313
22837,313
22848,313
22859,313
22872,313
22883,313
22894,313
22905,313
22917,312
22928,312
22940,312
22951,311
22963,309
22974,306
22985,305
22996,305
23009,305
23020,305
23031,305
23043,304
23054,303
23066,301
23077,301
23089,301
23100,301
23111,302
23122,302
23135,302
23146,303
23157,303
23169,303
23180,304
23191,303
23203,304
23215,304
23226,304
23237,303
23248,303
23260,303
23272,302
23283,301
23294,300
23306,299
23317,299
23328,298
23341,298
23352,298
23363,298
23374,298
23386,298
23398,297
23409,297
23420,297
23432,297
23443,297
23454,298
23467,298
23478,298
23489,298
23500,298
23512,299
23523,299
23535,299
23546,299
23558,299
23569,299
23580,299
23591,298
23604,299
23615,299
23626,299
23638,299
23649,299
23660,299
23672,299
23684,299
23695,299
23706,299
23717,299
23729,299
23741,299
23752,299
23763,298
23775,298
23786,298
23798,298
23810,298
23821,298
23832,297
23843,297
23855,297
23867,297
23878,297
23889,296
23901,296
23912,296
23923,296
23936,296
23947,296
23958,296
23969,296
23981,296
23992,296
24004,296
24015,295
24027,295
24038,295
24049,295
24060,295
24073,295
24084,295
24095,295
24107,295
24118,295
24130,295
24141,295
24153,295
24164,295
24175,295
24186,295
24199,294
24210,294
24221,294
24232,293
24244,294
24255,293
24267,293
24279,293
24290,293
24301,293
24312,293
24324,292
24336,293
24347,292
24358,292
24370,293
24381,292
24392,292
24404,292
24416,291
24427,291
24438,291
24450,291
24461,291
24473,291
24484,291
24496,291
24507,290
24518,290
24530,290
24542,290
24553,290
24564,290
24576,290
24587,290
24599,289
24610,289
24622,289
24633,289
24644,289
24655,289
24668,289
24679,289
24690,289
24701,289
24713,289
24724,288
24736,288
24748,288
24759,288
24770,288
24781,287
24793,287
24805,287
24816,287
24827,287
24839,287
24850,286
24862,286
24873,286
24885,286
24896,285
24907,285
24919,285
24931,284
24942,284
24953,284
24965,284
24976,284
24987,284
24999,284
25011,284
25022,283
25033,283
25044,283
25056,283
25068,283
25079,283
25091,282
25102,282
25113,281
25124,281
25137,281
25148,281
25159,281
25170,281
25182,281
25193,280
25205,280
25217,280
25228,280
25239,280
25250,280
25263,280
25274,280
25285,280
25296,280
25308,280
25319,280
25331,280
25342,280
25354,280
25365,280
25376,280
25388,279
25400,279
25411,279
25422,279
25434,279
25445,279
25456,279
25468,280
25480,279
25491,280
25502,280
25513,280
25525,280
25537,280
25548,280
25560,280
25571,280
25582,280
25594,280
25606,280
25617,280
25628,280
25639,279
25651,280
25663,280
25674,280
25686,280
25697,279
25708,279
25719,279
25732,279
25743,279
25754,279
25765,279
25777,279
25788,279
25800,279
25811,279
25823,279
25834,279
25845,279
25857,279
25869,279
25880,278
25891,278
25903,278
25914,278
25925,278
25937,278
25949,278
25960,278
25971,278
25982,278
25995,278
26006,277
26017,277
26029,277
26040,277
26051,277
26063,277
26075,277
26086,277
26097,277
26108,277
26120,277
26132,276
26143,277
26155,276
26166,276
26177,276
26188,276
26201,276
26212,276
26223,276
26234,276
26246,275
26257,275
26269,275
26280,275
26292,275
26303,275
26314,275
26327,275
26338,275
26349,275
26360,275
26372,274
26383,274
26395,274
26406,274
26418,274
26429,274
26440,273
26451,273
26464,273
26475,273
26486,273
26498,273
26509,273
26520,273
26532,273
26544,273
26555,273
26566,273
26577,273
26589,272
26601,272
26612,272
26624,272
26635,272
26646,272
26657,272
26670,272
26681,272
26692,272
26703,272
26715,272
26727,272
26738,272
26749,272
26761,272
26772,272
26783,272
26796,272
26807,271
26818,271
26829,271
26841,271
26852,271
26864,271
26875,271
26887,271
26898,271
26909,271
26920,271
26933,270
26944,271
26955,270
26967,270
26978,270
26989,270
27001,270
27013,269
27024,270
27035,269
27046,269
27059,270
27070,269
27081,269
27092,269
27104,269
27115,269
27127,269
27139,269
27150,268
27161,269
27172,269
27184,269
27196,269
27207,268
27218,268
27230,268
27241,268
27252,268
27265,268
27276,268
27287,268
27298,268
27310,268
27321,268
27333,268
27344,268
27356,268
27367,268
27378,268
27389,268
27402,268
27413,268
27424,268
27436,268
27447,268
27459,268
27470,267
27482,268
27493,268
27504,267
27515,267
27528,267
27539,267
27550,267
27561,267
27573,267
27584,267
27596,267
27608,267
27619,267
27630,267
27641,267
27653,266
27665,266
27676,267
27687,266
27699,266
27710,266
27721,266
27734,266
27745,266
27756,266
27767,266
27779,266
27791,266
27802,266
27813,266
27825,266
27836,266
27847,265
27859,265
27871,265
27882,265
27893,265
27905,265
27916,265
27928,265
27939,265
27951,265
27962,265
27973,265
27984,265
27997,265
28008,265
28019,265
28030,264
28042,264
28053,264
28065,264
28077,264
28088,264
28099,264
28110,264
28122,264
28134,263
28145,263
28156,263
28168,263
28179,263
28191,263
28203,263
28214,263
28225,263
28236,263
28248,262
28260,263
28271,262
28282,262
28294,262
28305,262
28316,262
28328,262
28340,262
28351,262
28362,263
28374,262
28385,263
28397,263
28408,263
28420,263
28431,263
28442,263
28453,263
28466,263
28477,263
28488,263
28499,263
28511,262
28523,262
28534,262
28546,262
28557,262
28568,262
28579,262
28592,262
28603,262
28614,262
28625,262
28637,262
28648,262
28660,262
28672,261
28683,261
28694,261
28705,261
28717,261
28729,261
28740,261
28751,261
28763,261
28774,261
28785,261
28797,261
28809,261
28820,261
28831,260
28843,261
28854,261
28866,261
28877,261
28889,260
28900,261
28911,261
28923,261
28935,261
28946,260
28957,260
28968,261
28980,260
28992,260
29003,260
29015,260
29026,260
29037,260
29048,260
29061,260
29072,260
29083,260
29094,260
29106,260
29117,260
29129,260
29140,260
29152,260
29163,260
29174,260
29186,260
29198,260
29209,260
29220,260
29232,260
29243,260
29255,260
29266,260
29278,260
29289,260
29300,260
29312,260
29324,260
29335,260
29346,259
29358,260
29369,260
29380,259
29392,259
29404,259
29415,259
29426,259
29437,259
29449,259
29461,259
29472,259
29484,259
29495,259
29506,259
29517,259
29530,259
29541,259
29552,259
29563,259
29575,259
29586,259
29598,259
29609,259
29621,259
29632,259
29643,259
29656,259
29667,259
29678,259
29689,258
29701,258
29712,258
29724,258
29735,259
29747,258
29758,258
29769,258
29780,258
29793,258
29804,258
29815,258
29827,258
29838,257
29849,257
29861,257
29873,257
29884,257
29895,257
29906,257
29918,257
29930,256
29941,256
29953,256
29964,256
29975,256
29987,256
29999,256
30010,256
30021,256
30032,256
30044,256
30056,255
30067,255
30078,255
30090,255
30101,255
30112,255
30125,255
30136,255
30147,254
30158,254
30170,254
30181,254
30193,254
30204,254
30216,254
30227,254
30238,254
30249,254
30262,253
30273,253
30284,253
30296,253
30307,253
30318,253
30330,253
30342,253
30353,252
30364,253
30375,252
30388,252
30399,252
30410,252
30422,252
30433,252
30444,252
30456,252
30468,252
30479,251
30490,251
30501,251
30513,251
30525,251
30536,251
30547,251
30559,251
30570,251
30581,251
30594,251
30605,251
30616,251
30627,250
30639,251
30650,251
30662,250
30673,250
30685,250
30696,250
30707,250
30720,250
30731,250
30742,250
30753,250
30765,250
30776,250
30788,250
30799,250
30811,250
30822,250
30833,250
30844,250
30857,250
30868,250
30879,250
30891,250
30902,250
30913,250
30925,250
30937,250
30948,250
30959,250
30970,250
30982,250
30994,250
31005,250
31016,250
31028,250
31039,250
31050,250
31063,250
31074,250
31085,250
31096,250
31108,250
31120,250
31131,249
31142,250
31154,249
31165,249
31176,249
31188,249
31200,249
31211,249
31222,249
31234,249
31245,249
31257,249
31268,249
31280,248
31291,249
31302,248
31313,248
31326,249
31337,248
31348,248
31360,248
31371,248
31382,248
31394,248
31406,248
31417,248
31428,248
31439,248
31452,248
31463,248
31474,248
31485,248
31497,248
31508,248
31520,248
31532,248
31543,248
31554,248
31565,248
31577,248
31589,248
31600,248
31611,248
31623,248
31634,248
31645,248
31657,247
31669,248
31680,248
31691,248
31703,248
31714,248
31726,248
31737,248
31749,248
31760,248
31771,248
31782,248
31795,248
