time,value
11695,373
11706,373
11717,373
11728,373
11740,373
11752,373
11763,373
11774,373
11786,373
11797,373
11808,373
11821,373
11832,373
11843,373
11854,373
11866,373
11877,373
11889,373
11900,373
11912,373
11923,373
11934,373
11945,373
11958,373
11969,373
11980,372
11992,373
12003,373
12014,373
12026,373
12038,373
12049,373
12060,372
12071,372
12084,372
12095,372
12106,372
12118,372
12129,372
12140,372
12152,372
12164,372
12175,372
12186,372
12197,371
12209,371
12221,371
12232,371
12243,370
12255,370
12266,370
12277,369
12290,369
12301,369
12312,368
12323,368
12335,368
12346,368
12358,368
12369,368
12381,368
12392,368
12403,368
12416,367
12427,367
12438,367
12449,367
12461,367
12472,367
12484,367
12495,367
12507,367
12518,367
12529,367
12540,367
12553,367
12564,367
12575,367
12587,367
12598,367
12609,367
12621,367
12633,367
12644,367
12655,367
12666,367
12678,367
12690,367
12701,367
12712,367
12724,367
12735,367
12746,367
12759,367
12770,367
12781,367
12792,367
12804,368
12816,367
12827,368
12838,367
12850,367
12861,367
12872,366
12884,366
12896,367
12907,368
12918,368
12930,368
12941,367
12953,366
12964,366
12976,367
12987,368
12998,367
13009,367
13022,367
13033,366
13044,367
13056,367
13067,368
13078,368
13090,367
13102,366
13113,366
13124,367
13135,368
13148,368
13159,367
13170,367
13181,366
13193,367
13204,367
13216,367
13228,367
13239,367
13250,367
13261,367
13273,367
13285,367
13296,368
13307,367
13319,367
13330,366
13341,366
13353,367
13365,367
13376,367
13387,367
13399,367
13410,367
13422,366
13433,366
13445,367
13456,367
13467,367
13478,367
13491,367
13502,367
13513,367
13524,367
13536,367
13548,367
13559,367
13571,367
13582,367
13593,367
13604,367
13617,367
13628,367
13639,367
13650,367
13662,367
13673,367
13685,367
13697,367
13708,367
13719,367
13730,367
13742,367
13754,367
13765,367
13776,367
13788,367
13799,367
13810,367
13822,366
13834,367
13845,367
13856,367
13868,367
13880,367
13891,367
13902,367
13914,366
13925,367
13936,367
13948,367
13960,367
13971,367
13982,367
13993,367
14005,367
14017,367
14028,367
14040,367
14051,367
14062,367
14073,367
14086,367
14097,367
14108,367
14119,367
14131,371
14142,376
14154,375
14166,375
14177,374
14188,373
14199,375
14211,375
14223,375
14234,371
14245,374
14257,370
14268,365
14280,364
14291,367
14303,366
14314,365
14325,368
14337,373
14349,373
14360,376
14371,376
14383,374
14394,367
14405,369
14417,367
14429,365
14440,368
14451,373
14462,371
14474,368
14486,366
14497,370
14509,375
14520,374
14531,374
14542,373
14555,371
14566,367
14577,371
14588,373
14600,371
14612,373
14623,374
14635,371
14646,375
14657,378
14668,378
14681,376
14692,375
14703,374
14714,376
14726,373
14737,374
14749,370
14760,371
14772,375
14783,379
14794,379
14806,380
14818,377
14829,374
14840,376
14852,376
14863,378
14874,379
14886,379
14898,382
14909,385
14920,384
14931,385
14943,387
14955,387
14966,388
14978,390
14989,388
15000,382
15012,380
15024,381
15035,385
15046,385
15057,388
15069,389
15081,392
15092,392
15104,395
15115,398
15126,399
15137,399
15150,396
15161,393
15172,395
15183,399
15195,399
15206,398
15218,396
15229,399
15241,399
15252,399
15263,399
15275,399
15287,399
15298,404
15309,405
15321,407
15332,409
15344,410
15355,407
15367,407
15378,408
15389,407
15400,408
15413,408
15424,409
15435,413
15447,415
15458,416
15469,415
15481,411
15493,410
15504,415
15515,416
15526,419
15538,420
15550,419
15561,422
15572,424
15584,425
15595,422
15606,421
15619,421
15630,425
15641,427
15652,426
15664,429
15675,430
15687,430
15698,428
15710,429
15721,431
15732,432
15745,433
15756,434
15767,435
15778,435
15790,435
15801,434
15813,435
15824,436
15836,438
15847,439
15858,442
15869,443
15882,443
15893,444
15904,445
15916,447
15927,448
15938,450
15950,450
15962,450
15973,449
15984,451
15995,453
16007,454
16019,454
16030,455
16041,457
16053,459
16064,460
16076,461
16088,460
16099,459
16110,459
16121,460
16133,460
16145,459
16156,458
16167,459
16179,462
16190,463
16201,464
16214,464
16225,464
16236,464
16247,463
16259,463
16270,462
16282,461
16293,462
16305,463
16316,466
16327,467
16338,467
16351,468
16362,470
16373,471
16385,472
16396,473
16407,473
16419,473
16431,472
16442,472
16453,474
16464,475
16477,477
16488,478
16499,479
16510,480
16522,480
16533,481
16545,481
16557,481
16568,482
16579,483
16590,482
16602,482
16614,482
16625,484
16636,485
16648,487
16659,487
16670,488
16683,489
16694,490
16705,490
16716,491
16728,491
16739,491
16751,490
16762,488
16774,489
16785,491
16796,493
16808,494
16820,495
16831,495
16842,494
16854,494
16865,494
16877,494
16888,494
16900,493
16911,494
16922,495
16933,495
16946,495
16957,495
16968,495
16979,492
16991,489
17002,468
17014,462
17026,468
17037,473
17048,479
17059,480
17071,478
17083,481
17094,484
17105,483
17117,481
17128,477
17139,478
17152,482
17163,483
17174,484
17185,481
17197,482
17209,485
17220,484
17231,486
17243,486
17254,488
17265,489
17277,487
17289,486
17300,481
17311,480
17323,483
17334,484
17346,482
17357,481
17369,479
17380,479
17391,481
17402,482
17415,483
17426,483
17437,484
17448,486
17460,486
17471,484
17483,486
17495,484
17506,484
17517,483
17528,484
17541,484
17552,483
17563,483
17574,482
17586,482
17597,482
17609,482
17620,482
17632,481
17643,479
17654,479
17666,479
17678,471
17689,466
17700,467
17712,465
17723,461
17734,459
17746,458
17758,461
17769,463
17780,459
17792,459
17803,462
17815,462
17826,460
17838,463
17849,460
17860,458
17871,458
17884,459
17895,461
17906,460
17917,461
17929,462
17941,465
17952,465
17964,461
17975,460
17986,463
17997,463
18010,463
18021,461
18032,460
18043,463
18055,464
18066,463
18078,462
18089,462
18101,462
18112,461
18123,461
18135,462
18147,463
18158,462
18169,461
18181,462
18192,462
18203,461
18215,461
18227,461
18238,460
18249,460
18260,461
18273,461
18284,462
18295,462
18307,460
18318,460
18329,459
18341,458
18353,459
18364,458
18375,460
18386,461
18398,463
18410,463
18421,463
18433,462
18444,462
18455,462
18466,462
18479,462
18490,461
18501,460
18512,459
18524,458
18535,458
18547,458
18558,457
18570,457
18581,456
18592,455
18604,455
18616,454
18627,454
18638,454
18650,454
18661,453
18673,452
18684,452
18696,452
18707,451
18718,451
18729,451
18742,450
18753,450
18764,450
18776,450
18787,450
18798,451
18810,452
18822,451
18833,451
18844,451
18855,449
18867,449
18879,448
18890,447
18902,446
18913,445
18924,445
18935,445
18948,445
18959,446
18970,446
18981,446
18993,447
19005,446
19016,446
19027,446
19039,445
19050,445
19061,444
19074,443
19085,442
19096,441
19107,440
19119,440
19130,439
19142,440
19153,440
19165,440
19176,440
19187,440
19198,439
19211,440
19222,439
19233,439
19245,439
19256,438
19267,438
