149,94
6150,97
6151,99
6152,99
6153,94
6154,86
6155,82
6156,87
6157,96
6158,101
6159,103
6160,101
6161,93
6162,83
6163,81
6164,88
6165,97
6166,100
6167,100
6168,96
6169,93
6170,91
6171,91
6172,95
6173,97
6174,97
6175,95
6176,93
6177,90
6178,92
6179,94
6180,96
6181,97
6182,97
6183,95
6184,94
6185,93
6186,93
6187,92
6188,94
6189,96
6190,97
6191,97
6192,96
6193,94
6194,94
6195,94
6196,95
6197,94
6198,95
6199,95
6200,94
6201,94
6202,94
6203,96
6204,98
6205,98
6206,96
6207,94
6208,89
6209,86
6210,89
6211,95
6212,99
6213,100
6214,99
6215,95
6216,88
6217,86
6218,90
6219,93
6220,96
6221,97
6222,97
6223,95
6224,93
6225,93
6226,93
6227,95
6228,95
6229,95
6230,94
6231,95
6232,94
6233,95
6234,96
6235,96
6236,95
6237,94
6238,94
6239,94
6240,96
6241,96
6242,97
6243,95
6244,92
6245,91
6246,89
6247,88
6248,88
6249,91
6250,95
6251,96
6252,98
6253,98
6254,97
6255,96
6256,95
6257,94
6258,96
6259,101
6260,103
6261,101
6262,97
6263,94
6264,92
6265,93
6266,94
6267,93
6268,92
6269,90
6270,86
6271,87
6272,92
6273,96
6274,98
6275,99
6276,96
6277,94
6278,96
6279,98
6280,98
6281,96
6282,97
6283,99
6284,100
6285,101
6286,100
6287,97
6288,95
6289,92
6290,91
6291,90
6292,88
6293,90
6294,95
6295,97
6296,98
6297,97
6298,94
6299,91
6300,92
6301,93
6302,94
6303,97
6304,100
6305,102
6306,101
6307,98
6308,94
6309,92
6310,92
6311,93
6312,93
6313,93
6314,93
6315,94
6316,93
6317,93
6318,93
6319,92
6320,90
6321,90
6322,91
6323,94
6324,97
6325,99
6326,100
6327,99
6328,98
6329,96
6330,95
6331,94
6332,94
6333,95
6334,97
6335,99
6336,98
6337,96
6338,93
6339,90
6340,89
6341,88
6342,89
6343,93
6344,97
6345,99
6346,100
6347,98
6348,95
6349,95
6350,96
6351,96
6352,96
6353,95
6354,95
6355,97
6356,99
6357,99
6358,97
6359,95
6360,91
6361,89
6362,89
6363,89
6364,91
6365,94
6366,97
6367,98
6368,97
6369,96
6370,95
6371,94
6372,95
6373,96
6374,96
6375,96
6376,97
6377,97
6378,97
6379,96
6380,96
6381,95
