,1002
1924,1002
1935,1002
1947,1002
1958,1003
1970,1002
1981,1002
1992,1002
2003,1002
2016,1002
2027,1001
2038,1002
2050,1002
2061,1002
2072,1002
2084,1002
2096,1002
2107,1001
2118,1001
2129,1002
2141,1002
2153,1002
2164,1002
2176,1002
2187,1002
2198,1002
2209,1002
2222,1002
2233,1002
2244,1002
2255,1002
2267,1002
2278,1002
2290,1002
2301,1002
2313,1002
2324,1003
2335,1002
2348,1002
2359,1003
2370,1002
2381,1002
2393,1002
2404,1003
2416,1002
2427,1003
2439,1003
2450,1003
2461,1003
2472,1003
2485,1003
2496,1002
2507,1003
2519,1003
2530,1003
2541,1003
2553,1003
2565,1003
2576,1003
2587,1003
2598,1003
2610,1003
2622,1003
2633,1003
2644,1002
2656,1003
2667,1003
2679,1003
2691,1003
2702,1003
2713,1003
2724,1002
2736,1003
2748,1003
2759,1003
2770,1003
2782,1003
2793,1003
2804,1003
2817,1003
2828,1002
2839,1003
2850,1003
2862,1003
2873,1003
2885,1003
2896,1003
2908,1003
2919,1003
2930,1003
2941,1003
2954,1003
2965,1003
2976,1003
2988,1003
2999,1003
3010,1002
3022,1003
3034,1002
3045,1003
3056,1003
3067,1003
3080,1002
3091,1002
3102,1003
3113,1002
3125,1003
3136,1003
3148,1003
3160,1002
3171,1003
3182,1002
3193,1003
3205,1003
3217,1003
3228,1003
3239,1003
3251,1003
3262,1002
3273,1003
3286,1003
3297,1002
3308,1003
3319,1003
3331,1003
3342,1002
3354,1003
3365,1003
3377,1003
3388,1003
3399,1003
3411,1003
3423,1003
3434,1003
3445,1003
3457,1003
3468,1003
3480,1003
3491,1002
3503,1003
3514,1003
3525,1002
3536,1003
3549,1003
3560,1003
3571,1003
3582,1003
3594,1003
3605,1003
3617,1003
3629,1003
3640,1003
3651,1002
3662,1003
3674,1003
3686,1003
3697,1003
3708,1003
3720,1003
3731,1003
3742,1003
3755,1003
3766,1003
3777,1003
3788,1003
3800,1002
3812,1003
3823,1003
3834,1003
3846,1002
3857,1003
3868,1002
3880,1002
3892,1003
3903,1002
3914,1002
3926,1003
3937,1002
3949,1002
3960,1002
3972,1003
3983,1002
3994,1002
4005,1002
4018,1002
4029,1002
4040,1002
4051,1002
4063,1002
4074,1002
4086,1003
4098,1002
4109,1002
4120,1002
4131,1002
4144,1002
4155,1002
4166,1002
4177,1002
4189,1001
4200,1003
4212,1002
4224,1002
4235,1002
4246,1002
4257,1003
4269,1001
4281,1003
4292,1002
4303,1002
