time,value
215887,241
215900,239
215912,239
215924,240
215937,241
215950,240
215962,239
215974,239
215987,239
215999,241
216012,241
216025,240
216037,238
216049,234
216061,236
216074,237
216087,238
216099,238
216112,237
216124,235
216136,235
216150,237
216162,237
216174,237
216186,236
216199,237
216212,235
216224,237
216237,237
216249,236
216261,236
216273,237
216287,236
216299,237
216311,235
216324,237
216336,236
216349,236
216361,234
216374,234
216386,234
216398,234
216412,234
216424,235
216436,236
216449,236
216461,236
216473,235
216486,235
216499,235
216511,235
216523,235
216536,234
216549,235
216561,235
216573,236
216586,236
216598,236
216611,236
216624,236
216636,236
216648,236
216660,235
216673,235
216686,235
216698,235
216711,235
216723,235
216735,235
216749,236
216761,235
216773,236
216785,236
216798,236
216811,236
216823,235
216836,235
216848,235
216860,235
216872,235
216886,236
216898,236
216910,236
216923,236
216935,236
216948,237
216961,237
216973,237
216985,237
216997,237
217011,237
217023,237
217035,237
217048,237
217060,236
217072,236
217085,236
217098,237
217110,236
217122,236
217135,236
217148,236
217160,235
217172,235
217185,235
217197,235
217210,235
217223,235
217235,235
217247,235
217260,235
217272,235
217285,235
217297,235
217310,235
217322,235
217334,235
217348,235
217360,235
217372,235
217384,234
217397,234
217410,234
217422,234
217435,234
217447,235
217459,234
217472,234
217485,234
217497,235
217509,235
217522,235
217534,235
217547,235
217560,235
217572,235
217584,235
217596,235
217610,235
217622,235
217634,235
217647,235
217659,235
217671,235
217684,235
217697,235
217709,235
217721,235
217734,234
217747,234
217759,234
217772,233
217784,233
217796,233
217809,232
217822,232
217834,232
217846,232
217859,232
217871,232
217884,232
217896,232
217909,232
217921,232
217933,232
217947,232
217959,233
217971,232
217984,232
217996,232
218009,232
218021,231
218034,231
218046,231
218058,231
218071,231
218084,231
218096,231
218108,231
218121,231
218133,231
218146,231
218159,231
218171,231
218183,231
218195,231
218209,231
218221,231
218233,231
218246,231
218258,231
218270,231
218284,231
218296,231
218308,231
218320,231
218333,230
218346,230
218358,230
218371,231
218383,231
218395,230
218408,230
218421,229
218433,230
218445,230
218458,230
218470,230
218483,229
218496,229
218508,229
218520,230
218532,230
218546,230
218558,229
218570,229
218583,230
218595,230
218608,230
218620,230
218633,229
218645,229
218657,229
218670,229
218683,229
218695,229
218707,229
218720,229
218732,229
218745,230
218758,229
